Area_Name,Year,Group_Name,Sub_Group_Name,victims non adult,victims adult
Andaman & Nicobar Islands,2001,Murder - Female Victims,2. Female Victims,0,6
Andhra Pradesh,2001,Murder - Female Victims,2. Female Victims,96,511
Arunachal Pradesh,2001,Murder - Female Victims,2. Female Victims,0,16
Assam,2001,Murder - Female Victims,2. Female Victims,35,93
Bihar,2001,Murder - Female Victims,2. Female Victims,40,326
Chandigarh,2001,Murder - Female Victims,2. Female Victims,0,5
Chhattisgarh,2001,Murder - Female Victims,2. Female Victims,90,459
Delhi,2001,Murder - Female Victims,2. Female Victims,23,129
Goa,2001,Murder - Female Victims,2. Female Victims,0,13
Gujarat,2001,Murder - Female Victims,2. Female Victims,74,289
Haryana,2001,Murder - Female Victims,2. Female Victims,28,115
Himachal Pradesh,2001,Murder - Female Victims,2. Female Victims,3,36
Jammu & Kashmir,2001,Murder - Female Victims,2. Female Victims,42,145
Jharkhand,2001,Murder - Female Victims,2. Female Victims,39,252
Karnataka,2001,Murder - Female Victims,2. Female Victims,75,502
Kerala,2001,Murder - Female Victims,2. Female Victims,49,107
Lakshadweep,2001,Murder - Female Victims,2. Female Victims,2,0
Madhya Pradesh,2001,Murder - Female Victims,2. Female Victims,91,531
Maharashtra,2001,Murder - Female Victims,2. Female Victims,145,923
Manipur,2001,Murder - Female Victims,2. Female Victims,2,6
Meghalaya,2001,Murder - Female Victims,2. Female Victims,0,6
Mizoram,2001,Murder - Female Victims,2. Female Victims,0,12
Nagaland,2001,Murder - Female Victims,2. Female Victims,2,0
Odisha,2001,Murder - Female Victims,2. Female Victims,13,247
Puducherry,2001,Murder - Female Victims,2. Female Victims,1,9
Punjab,2001,Murder - Female Victims,2. Female Victims,25,178
Rajasthan,2001,Murder - Female Victims,2. Female Victims,27,221
Sikkim,2001,Murder - Female Victims,2. Female Victims,0,6
Tamil Nadu,2001,Murder - Female Victims,2. Female Victims,126,399
Tripura,2001,Murder - Female Victims,2. Female Victims,2,7
Uttar Pradesh,2001,Murder - Female Victims,2. Female Victims,178,1145
Uttarakhand,2001,Murder - Female Victims,2. Female Victims,5,105
West Bengal,2001,Murder - Female Victims,2. Female Victims,1,357
Andaman & Nicobar Islands,2002,Murder - Female Victims,2. Female Victims,1,6
Andhra Pradesh,2002,Murder - Female Victims,2. Female Victims,25,637
Arunachal Pradesh,2002,Murder - Female Victims,2. Female Victims,0,4
Assam,2002,Murder - Female Victims,2. Female Victims,0,111
Bihar,2002,Murder - Female Victims,2. Female Victims,5,392
Chandigarh,2002,Murder - Female Victims,2. Female Victims,1,8
Chhattisgarh,2002,Murder - Female Victims,2. Female Victims,9,219
Dadra & Nagar Haveli,2002,Murder - Female Victims,2. Female Victims,0,1
Daman & Diu,2002,Murder - Female Victims,2. Female Victims,0,2
Delhi,2002,Murder - Female Victims,2. Female Victims,11,119
Goa,2002,Murder - Female Victims,2. Female Victims,0,7
Gujarat,2002,Murder - Female Victims,2. Female Victims,93,501
Haryana,2002,Murder - Female Victims,2. Female Victims,6,150
Himachal Pradesh,2002,Murder - Female Victims,2. Female Victims,4,30
Jammu & Kashmir,2002,Murder - Female Victims,2. Female Victims,0,163
Jharkhand,2002,Murder - Female Victims,2. Female Victims,3,303
Karnataka,2002,Murder - Female Victims,2. Female Victims,10,585
Kerala,2002,Murder - Female Victims,2. Female Victims,51,104
Madhya Pradesh,2002,Murder - Female Victims,2. Female Victims,14,523
Maharashtra,2002,Murder - Female Victims,2. Female Victims,120,846
Manipur,2002,Murder - Female Victims,2. Female Victims,0,14
Meghalaya,2002,Murder - Female Victims,2. Female Victims,1,24
Mizoram,2002,Murder - Female Victims,2. Female Victims,0,9
Nagaland,2002,Murder - Female Victims,2. Female Victims,0,3
Odisha,2002,Murder - Female Victims,2. Female Victims,3,343
